c,p,o,oLabel
http://www.wikidata.org/entity/Q122618425,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122618440,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2775969,fictional planet
http://www.wikidata.org/entity/Q122618461,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122618473,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122618496,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q30106090,fictional drinking establishment
http://www.wikidata.org/entity/Q122618536,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122618570,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122619146,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122619365,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2775969,fictional planet
http://www.wikidata.org/entity/Q122619774,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15720793,fictional building
http://www.wikidata.org/entity/Q122619800,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q70130710,fictional farm
http://www.wikidata.org/entity/Q122619854,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q17682891,fictional prison
http://www.wikidata.org/entity/Q122619876,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122619905,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15709963,fictional hospital
http://www.wikidata.org/entity/Q122619937,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q111535061,fictional store
http://www.wikidata.org/entity/Q122620096,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122620335,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122620721,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2775969,fictional planet
http://www.wikidata.org/entity/Q122620721,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15711870,animated character
http://www.wikidata.org/entity/Q122620721,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q122621143,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2775969,fictional planet
http://www.wikidata.org/entity/Q122621143,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15711870,animated character
http://www.wikidata.org/entity/Q122621143,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q122621621,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q59590893,fictional junkyard
http://www.wikidata.org/entity/Q122621921,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122622156,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122622336,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q60875352,fictional residence
http://www.wikidata.org/entity/Q122622628,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122622842,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q60875352,fictional residence
http://www.wikidata.org/entity/Q122623135,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122623855,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122624138,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q21597574,fictional hotel
http://www.wikidata.org/entity/Q122624319,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q20751022,fictional house
http://www.wikidata.org/entity/Q122624341,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q100706037,fictional dimension
http://www.wikidata.org/entity/Q122624361,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q60875352,fictional residence
http://www.wikidata.org/entity/Q122624408,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122624675,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q61032653,fictional community center
http://www.wikidata.org/entity/Q122624691,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q106921111,fictional town
http://www.wikidata.org/entity/Q122624715,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122624798,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q63959432,fictional bank
http://www.wikidata.org/entity/Q122624823,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122624862,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122624891,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q111535061,fictional store
http://www.wikidata.org/entity/Q122624926,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q18814068,fictional restaurant
http://www.wikidata.org/entity/Q122624946,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q60875352,fictional residence
http://www.wikidata.org/entity/Q122624968,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122624986,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q100706037,fictional dimension
http://www.wikidata.org/entity/Q122624996,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q60875460,fictional diner
http://www.wikidata.org/entity/Q122625003,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q104537313,fictional gymnasium
http://www.wikidata.org/entity/Q122625030,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122625056,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122625068,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122625086,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q111535061,fictional store
http://www.wikidata.org/entity/Q122625106,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q19826142,fictional shop
http://www.wikidata.org/entity/Q122625179,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q89375447,fictional school
http://www.wikidata.org/entity/Q122625349,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q111535061,fictional store
http://www.wikidata.org/entity/Q122625529,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q18814068,fictional restaurant
http://www.wikidata.org/entity/Q122654766,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122654858,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q20751022,fictional house
http://www.wikidata.org/entity/Q122654921,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122654967,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q19826142,fictional shop
http://www.wikidata.org/entity/Q122655021,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q60875352,fictional residence
http://www.wikidata.org/entity/Q122680258,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1114461,comics character
http://www.wikidata.org/entity/Q122680258,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q122680258,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q122680258,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q188784,superhero
http://www.wikidata.org/entity/Q123399026,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q89050913,fictional extraterrestrial
http://www.wikidata.org/entity/Q123507539,http://www.wikidata.org/prop/direct/P2563,http://www.wikidata.org/entity/Q4386945,superhuman strength
http://www.wikidata.org/entity/Q123507539,http://www.wikidata.org/prop/direct/P2563,http://www.wikidata.org/entity/Q47089006,superhuman durability
http://www.wikidata.org/entity/Q123507539,http://www.wikidata.org/prop/direct/P2563,http://www.wikidata.org/entity/Q93991401,interdimensional travel
http://www.wikidata.org/entity/Q123507539,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q125179103,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q125179103,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q125179103,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q125179103,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q901,scientist
http://www.wikidata.org/entity/Q126066680,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q126066680,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q129084731,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q129084731,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q129084796,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q129084796,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q129084796,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q105379199,FBI agent
http://www.wikidata.org/entity/Q129086434,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q129086434,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q129144133,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q129144133,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q129144133,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q55983771,assassin
http://www.wikidata.org/entity/Q129144472,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q129144472,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
