a,aLabel,image,sitelinks
http://www.wikidata.org/entity/Q231726,Hailee Steinfeld,http://commons.wikimedia.org/wiki/Special:FilePath/Hailee%20Steinfeld%20%2828787553517%29%20%28cropped%29.jpg,74
http://www.wikidata.org/entity/Q99774629,Iman Vellani,,36
