name,wiki,file
Cassie Lang,Cassie Lang,cassie-lang.webp
Thor: God of Thunder,Thor: God of Thunder,thor-god-of-thunder.webp
Frigga,Frigga,frigga.webp
Namor,Namor,namor.webp
Avengers Initiative,Avengers Initiative,avengers-initiative.webp
Puente Antiguo,Puente Antiguo,puente-antiguo.webp
Wheaton,Wheaton,wheaton.webp
Joint Dark Energy Mission Facility,Joint Dark Energy Mission Facility,joint-dark-energy-mission-facility.webp
I Am Groot,I Am Groot,i-am-groot.webp
Thaddeus Ross,Red Hulk,thaddeus-ross.webp
T'Chaka,T'Chaka,t-chaka.webp
Janet van Dyne,Janet van Dyne,janet-van-dyne.webp
What If... T'Challa Became a Star-Lord?,What If... T'Challa Became a Star-Lord?,what-if-t-challa-became-a-star-lord.webp
Lila Barton,Lila Barton,lila-barton.webp
Happy Hogan,Happy Hogan,happy-hogan.webp
The Guardians of the Galaxy Holiday Special,The Guardians of the Galaxy Holiday Special,the-guardians-of-the-galaxy-holiday-special.webp
Inhumans,Inhumans,inhumans.webp
Stark Expo,Stark Expo,stark-expo.webp
Stark Industries Headquarters,Stark Industries Headquarters,stark-industries-headquarters.webp
Emil Blonsky,Abomination,emil-blonsky.webp
Strategic Scientific Reserve,Strategic Scientific Reserve,strategic-scientific-reserve.webp
Star-Lord,Star-Lord,star-lord.webp
Steve Rogers,File:Cap Civil War Textless Poster.jpg,steve-rogers.webp
Sam Wilson,File:TF&TWS Textless Character Posters 01.jpg,sam-wilson.webp
Matt Murdock,Daredevil,matt-murdock.webp
Maria Hill,Maria Hill,maria-hill.webp
Maggie Lang,Maggie Lang,maggie-lang.webp
Michelle Jones,Michelle Jones,michelle-jones.webp
Jasper Sitwell,Jasper Sitwell,jasper-sitwell.webp
Cooper Barton,Cooper Barton,cooper-barton.webp
Sue Storm,Invisible Woman,sue-storm.webp
May Parker,May Parker,may-parker.webp
Talos,Talos,talos.webp
Ayo,Ayo,ayo.webp
Jane Foster,Mighty Thor,jane-foster.webp
Adrian Toomes,Vulture,adrian-toomes.webp
Foggy Nelson,Foggy Nelson,foggy-nelson.webp
Laufey,Laufey,laufey.webp
Alexei Shostakov,Red Guardian,alexei-shostakov.webp
J.A.R.V.I.S.,J.A.R.V.I.S.,j-a-r-v-i-s.webp
Johnny Storm,Human Torch,johnny-storm.webp
Morgan Stark,Morgan Stark,morgan-stark.webp
